Metric,Multipath-NADA,Aggregated-NADA,Improvement (%),Scenario
Delay (seconds),0.03263343157894737,0.0321106175,-1.6281657584048825,High-Speed Asymmetric - Weighted Best Path
Loss (%),0.0,0.0,,High-Speed Asymmetric - Weighted Best Path
Jitter (seconds),4.4647371760452893e-07,2.17946236489e-06,79.51450207184179,High-Speed Asymmetric - Weighted Best Path
Estimated MOS (1-5),4.869431721384363,4.8713887717213975,-0.04017438206523029,High-Speed Asymmetric - Weighted Best Path
Throughput Stability (stddev),84.03399462054219,35.4299624218904,-137.18341447808533,High-Speed Asymmetric - Weighted Best Path
Path Utilization Ratio (%),2.3241262345679012,,,High-Speed Asymmetric - Weighted Best Path
Delivery Efficiency (%),0.0,0.0,,High-Speed Asymmetric - Weighted Best Path
Buffer Length (ms),676.235,815.325,-17.05945481863061,High-Speed Asymmetric - Weighted Best Path
Buffer Underruns,2.0,12.0,83.33333333333334,High-Speed Asymmetric - Weighted Best Path
Throughput (Mbps),54.37376384727273,29.553548754999998,83.983873808297,High-Speed Asymmetric - Round Robin
Delay (seconds),0.032002094999999994,0.0321106175,0.3379645377420925,High-Speed Asymmetric - Round Robin
Loss (%),0.0,0.0,,High-Speed Asymmetric - Round Robin
Jitter (seconds),4.213740067242675e-07,2.17946236489e-06,80.66614897727152,High-Speed Asymmetric - Round Robin
Estimated MOS (1-5),4.871958988867542,4.8713887717213975,0.011705432944594594,High-Speed Asymmetric - Round Robin
Throughput Stability (stddev),80.53937405576345,35.4299624218904,-127.31995336806283,High-Speed Asymmetric - Round Robin
Path Utilization Ratio (%),1.8879779113636364,,,High-Speed Asymmetric - Round Robin
Delivery Efficiency (%),0.0,0.0,,High-Speed Asymmetric - Round Robin
Buffer Length (ms),0.0,815.325,-100.0,High-Speed Asymmetric - Round Robin
Buffer Underruns,1.0,12.0,91.66666666666666,High-Speed Asymmetric - Round Robin
